Sl.No;Title;Description;Genres;Cast;Director;Production Country;Added to Netflix On;Year;Series;Duration(in Minutes);Season;Rating
4777;Angela's Christmas;Un viaje a la iglesia con su familia en la víspera de Navidad le da a la joven Angela una idea extraordinaria. Una historia conmovedora basada en una historia de Frank McCourt.;Children & Family Movies;Lucy O'Connell, Ruth Negga, Brendan Mullins, Malachy McCourt, Vivian Drew, Anya O'Connor, Janet Moran, Brian Gleeson, Pat Kinevane;Damien O’Connor;;November 30, 2018;2018;TV-Y;30;;6.9
4778;Death by Magic;Magician Drummond Money-Coutts viaja por el mundo, compartiendo su amor infeccioso por su oficio e intento de hazañas que resultaron fatales para otros magos.;Reality TV;Drummond Money-Coutts;;United States;November 30, 2018;2018;TV-PG;;1 SEASON;6.1
4779;El club de los insomnes;Un insomnio, un aspirante a fotógrafo y un veterinario embarazada forma una amistad única durante las reuniones de la noche en una martilla de 24 horas.;Dramas, International Movies;Cassandra Ciangherotti, Leonardo Ortizgris, Alejandra Ambrosi, Alexandra De La Mora, Mónica Dionne, Sergio Goyri, Fernando Becerril, Humberto Busto, Marco Méndez, Alejandra Urdiaín, Khristian Clausen, Fernando Luján;Joseduardo Giordano, Sergio Goyri Jr.;;November 30, 2018;2018;TV-MA;82;;6.1
4780;Happy as Lazzaro;Pure -Hearn Teen Lazzaro está contento de vivir como un aparcero en la Italia rural, pero una amistad poco probable con el hijo de la marquesa cambiará su mundo.;Dramas, Independent Movies, International Movies;Adriano Tardiolo, Agnese Graziani, Alba Rohrwacher, Luca Chikovani, Tommaso Ragno, Sergi López, Natalino Balasso, Carlo Tarmati, Pasqualina Scuncia, Nicoletta Braschi;Alice Rohrwacher;;November 30, 2018;2018;PG-13;127;;7.6
4781;Love and Fortune;Frustrado por la vida con su novio, treinta y tantos wako no puede evitar estar interesada en la escuela secundaria Yumeaki, a pesar de su brecha de edad.;International TV Shows, Romantic TV Shows, TV Dramas;Eri Tokunaga, Daichi Watanabe, Fuju Kamio, Sairi Ito,a Fujii, Mansaku Ikeuchi, Kinuo Yamada, Yuka Ogura, Enon Kawatani, Yui Imaizumi, Noriko Eguchi, Masanobu Ando, Kitaro;;Japan;November 30, 2018;2018;TV-MA;;1 SEASON;7.4
4782;Manto;El controvertido y problemático escritor indo-pakistaní Saadat Hasan Manto encuentra sus elecciones artísticas desafiadas por los censores.;Dramas, Independent Movies, International Movies;Nawazuddin Siddiqui, Rasika Dugal, Tahir Raj Bhasin;Nandita Das;;November 30, 2018;2018;TV-MA;114;;7.2
4783;Rajma Chawal;Con la esperanza de revivir su relación con su resentido hijo milenario, un viudo de internet-novio asume la personalidad en línea de una mujer joven.;Comedies, Dramas, International Movies;Rishi Kapoor, Anirudh Tanwar, Amyra Dastur, Jitendra Shastri, Aparshakti Khurana, Harish Khanna, Manu Rishi Chadha, Nirmal Rishi, Sheeba Chaddha, Adil Hussain, Rahul Ram, Mukesh Chhabra;Leena Yadav;;November 30, 2018;2018;TV-MA;119;;5.8
4784;Spy Kids: Mission Critical;En esta serie animada de spin -off, Juni y Carmen Cortez deben luchar contra la organización malvada S.W.A.M.P. -Sin la ayuda de sus padres súper espías.;Kids' TV;Ashley Bornancin, Carter Hastings, Caitlyn Bairstow, Nicholas Coombe, Nesta Cooper, Richard Ian Cox, Tom Kenny, Travis Turner, Candi Milo, Mira Sorvino;;United States, Canada;November 30, 2018;2018;TV-Y7;;2 SEASONS;4.6
4785;The World Is Yours;Para escapar de su vida de crimen, un traficante de drogas de París asume un último trabajo que involucra a España, gángsters desquiciados, su enamoramiento de toda la vida y su intrigante madre.;Action & Adventure, Comedies, International Movies;Isabelle Adjani, Karim Leklou, François Damiens, Vincent Cassel, Oulaya Amamra;Romain Gavras;;November 30, 2018;2018;TV-MA;101;;6.4
4786;Time Share;El esposo y el padre Pedro sospechan cada vez más porque una serie de percances en un resort durante unas vacaciones familiares son parte de un plan siniestro.;Dramas, Independent Movies, International Movies;Luis Gerardo Méndez, Miguel Rodarte, R.J. Mitte, Cassandra Ciangherotti, Montserrat Marañon, Andrés Almeida, Emiliano Rodríguez;Sebastián Hofmann;;November 30, 2018;2018;TV-MA;96;;6
4787;Bumping Mics with Jeff Ross & Dave Attell;Cuando Jeff Ross y Dave Attell suben al escenario, nadie está a salvo. Con la ayuda de invitados especiales, están empacando muchas risas en un fin de semana épico.;Stand-Up Comedy & Talk Shows, TV Comedies;Jeff Ross, Dave Attell;;United States;November 27, 2018;2018;TV-MA;;1 SEASON;7.6
4788;Minecraft: Story Mode;Tome el control de una aventura ambientada en el universo de Theecraft. El futuro del mundo está en juego, y sus decisiones dan forma a la historia, ¡así que elige sabiamente!;International TV Shows, Kids' TV;Patton Oswalt, Catherine Taber, Sean Astin, Melissa Hutchison, Ashley Johnson, Matthew Mercer, Jim Meskimen, Martha Plimpton, Scott Porter, Brian Posehn, Paul Reubens, Billy West, Dave Fennoy;;United States, Sweden;November 27, 2018;2015;TV-PG;;1 SEASON;6.4
4789;Frontier;En América del Norte del siglo XVIII, los despiadados cazadores y empresarios luchan por arrebatar el control del comercio de pieles de la poderosa Compañía de Hudson's Bay.;International TV Shows, TV Action & Adventure, TV Dramas;Jason Momoa, Landon Liboiron, Alun Armstrong, Jessica Matten, Zoe Boyle, Allan Hawco, Evan Jonigkeit, Katie McGrath;;Canada;November 23, 2018;2018;TV-MA;;3 SEASONS;7
4790;Fugitiva;Un sobreviviente de abuso doméstico orquesta un elaborado engaño para proteger a su familia de su poderoso esposo y sus enemigos vengativos.;Crime TV Shows, International TV Shows, Spanish-Language TV Shows;Paz Vega, Julio Bracho, Arantza Ruiz, Luisa Rubino, Lander Otaola, Iván Pellicer, José Manuel Poga, Mercedes Sampietro, Charo López, Roberto Álamo, Raúl Medina, Melina Matthews, Pedro Mari Sánchez, Odiseo Bichir;;Spain;November 23, 2018;2018;TV-MA;;1 SEASON;5.7
4791;Sick Note;Después de que Slacker Daniel Glass se diagnostica erróneamente con cáncer, sus mentiras lo llevaron a una red absurda de fraude, chantaje, sospecha y desgracia.;British TV Shows, International TV Shows, TV Comedies;Rupert Grint, Nick Frost, Don Johnson, Lindsay Lohan, Pippa Bennett-Warner, Marama Corlett, Karl Theobald, Belinda Stewart-Wilson, Camilla Beeput, Dustin Demri-Burns, Tolu Ogunmefun;;United Kingdom;November 23, 2018;2018;TV-MA;;2 SEASONS;6.5
4792;Mystery Science Theater 3000: The Return;¡El éxito de culto regresa! Capturado por científicos locos, el nuevo anfitrión Jonah sobrevive a un bombardeo de películas de cursis B al riffs con sus divertidos amigos robots.;TV Comedies, TV Sci-Fi & Fantasy;Felicia Day, Patton Oswalt, Jonah Ray, Baron Vaughn, Hampton Yount;;United States;November 22, 2018;2018;TV-14;;2 SEASONS;8.1
4793;The Christmas Chronicles;Después de chocar accidentalmente el trineo de Santa, un hermano y una hermana tiran de toda la noche para salvar la Navidad con un inteligente y recto St. Nick.;Children & Family Movies, Comedies;Kurt Russell, Darby Camp, Judah Lewis, Kimberly Williams-Paisley, Oliver Hudson, Lamorne Morris, Martin Roach;Clay Kaytis;;November 22, 2018;2018;TV-PG;104;;7.1
4794;Oh My Ghost;Cuando un chef hábil pero tímido es poseído por un espíritu atrevido, su nueva confianza llama la atención de su enamoramiento, un disparo culinario.;International TV Shows, Romantic TV Shows, TV Comedies;Nuengthida Sophon, Keerati Mahaprukpong, Arak Amornsupasiri, Malinee Adelaide Coates;;Thailand;November 21, 2018;2018;TV-MA;;1 SEASON;6.7
4795;The Tribe;Una sensación ejecutiva convertida en viral pierde su reputación y su memoria, pero encuentra una nueva vida con su madre biológica y su grupo de baile empoderado.;Comedies, International Movies;Paco León, Carmen Machi, Luis Bermejo, Maribel del Pino, Maite Sandoval, Arlette Torres, Marisol Aznar, María José Sarrate, Manuel Huedo, Artur Busquets;Fernando Colomo;;November 21, 2018;2018;TV-MA;91;;5.9
4796;Kulipari: Dream Walker;Ahora el Blue Sky King, Darel debe liderar una misión de rescate para salvar a un caminante de ensueño, dejando el pueblo bajo la protección de la juventud kulipari.;Kids' TV;Charlie Adler, Mark Hamill, Jess Harnell, Phil LaMarr, Josh Keaton, Mikey Kelley, Amy Margolis, Wendie Malick, Kevin Michael Richardson, Candi Milo, Laraine Newman;;;November 21, 2018;2018;TV-Y7;;1 SEASON;7.5
4797;Puppy Star Christmas;Un nuevo paquete de Pup Star Pooches tropieza con el plan de un equipo rival de arruinar la Navidad, luego termina en el Polo Norte para tratar de salvar el espíritu navideño.;Children & Family Movies, Comedies;Kaitlyn Maher, Mackenzie Sol, Makenzie Moss, David DeLuise, George Newbern, Reggie De Leon, Diedrich Bader, Chloe Coleman, Oakley Bull, Dillon Fontana, vivienne Rutherford, Tyreese Burnett;Robert Vince;;November 21, 2018;2018;PG;91;;3.8
4798;Sabrina;Un fabricante de juguetes y su esposa son aterrorizados por un demonio después de que su sobrina huérfana intenta convocar el espíritu de su difunta madre usando un ritual espeluznante.;Horror Movies, International Movies;Luna Maya, Christian Sugiono, Sara Wijayanto, Jeremy Thomas, Richelle Georgette Skornicki, Rizky Hanggono, Asri Handayani;Rocky Soraya;;November 21, 2018;2018;TV-MA;114;;4.3
4799;Target;Atrapado en un edificio vacío, nueve personas se ven obligadas a jugar un juego letal. Todos sus movimientos serán grabados, y solo un jugador puede sobrevivir.;Comedies, Horror Movies, International Movies;Raditya Dika, Cinta Laura Kiehl, Samuel Rizal, Willy Dozan, Abdur Arsyad, Hifdzi Khoir, Romy Rafael, Ria Ricis, Anggika Bolsterli;Raditya Dika;;November 21, 2018;2018;TV-14;91;;4.1
4800;The Final Table;Los equipos de chefs de élite compiten para impresionar a los paladares más duros del mundo mientras preparan platos icónicos de nueve naciones en esta competencia llena de estrellas.;Reality TV;Andrew Knowlton;;United States;November 20, 2018;2018;TV-PG;;1 SEASON;7.5
4801;Trevor Noah: Son of Patricia;"El presentador de ""Daily Show"", Trevor Noah, toca los tacos, las serpientes fugitivas, el campamento, la inmunidad de racismo y las lecciones que aprendió de su madre en este especial de comedia.";Stand-Up Comedy;Trevor Noah;David Paul Meyer;;November 20, 2018;2018;TV-MA;64;;7.4
4802;Eternal Love;Después de que las deidades Bai Qian y Ye Hua se encuentran y se enamoran, su romance es la prueba de tres vidas, cada una es una épica por derecho propio.;International TV Shows, Romantic TV Shows, TV Dramas;Yang Mi, Mark Chao, Dilraba Dilmurat, Ken Chang, Vengo Gao, Huang Mengying;;China;November 17, 2018;2017;TV-14;;1 SEASON;7.4
4803;Cam;Después de que un parecido se apodera de su relato, una chica Cam con una creciente base de fanáticos se propone identificar al misterioso culpable y reclamar su propia identidad.;Horror Movies, Independent Movies, Thrillers;Madeline Brewer, Patch Darragh, Melora Walters, Devin Druid, Imani Hakim, Michael Dempsey, Flora Diaz, Samantha Robinson, Jessica Parker Kennedy, Quei Tann;Daniel Goldhaber;;November 17, 2018;2018;TV-MA;95;;6.1
4804;Nothing to Hide;Para darle vida a una cena, los viejos amigos acuerdan compartir cada mensaje privado que aparece en sus teléfonos, con resultados desastrosos.;Comedies, Dramas, International Movies;Bérénice Bejo, Suzanne Clément, Stéphane De Groodt, Vincent Elbaz, Grégory Gadebois, Doria Tillier, Roschdy Zem, Fleur Fitoussi;Fred Cavayé;;November 17, 2018;2018;TV-MA;94;;6.9
4805;Ponysitters Club;Un joven entusiasta de los caballos se une a sus mejores amigos para rescatar y rehabilitar a los animales en el amado rancho de su familia.;Kids' TV, TV Dramas;Morgan Neundorf, Madeline Leon, Khiyla Aynne, Cailan Laine Punnewaert, Zyon Allen, Maya Franzoi, Victoria Tomazelli, Hugh Wilson, Diana Chrisman;;Canada;November 16, 2018;2018;TV-G;;2 SEASONS;5.7
4806;The Ballad of Buster Scruggs;Desde absurdo hasta profundo, estas viñetas occidentales de los hermanos Coen siguen las aventuras de los forajidos y colonos en la frontera estadounidense.;Comedies, Dramas;Liam Neeson, James Franco, Tim Blake Nelson, Tom Waits, Zoe Kazan, Brendan Gleeson;Joel Coen, Ethan Coen;;November 16, 2018;2018;R;133;;7.2
4807;The Princess Switch;Cuando un panadero de Chicago con los pies en la tierra y una princesa que se viene pronto se parecen a gemelos, eclosionan un plan de Navidad para intercambiar lugares.;Children & Family Movies, Dramas, Romantic Movies;Vanessa Hudgens, Sam Palladio, Nick Sagar, Suanne Braun, Mark Fleischmann, Amy Griffiths, Sara Stewart, Pavel Douglas, Robin Soans, Calliope Taylor, Natali Yura, Alexa Adeosun;;United States;November 16, 2018;2018;TV-G;102;;6.1
4808;Vai Anitta;Vaya detrás de escena con el ícono pop brasileño Anitta, junto con sus amigos y familiares, mientras su objetivo es crear una nueva canción y video musical cada mes.;Docuseries, International TV Shows, Reality TV;Anitta;;Brazil;November 16, 2018;2018;TV-MA;;1 SEASON;5.3
4809;Christmas Wedding Planner;El mundo de un planificador de bodas se pone al revés cuando se contrata a un guapo investigador privado para interrumpir uno de sus mayores trabajos.;Comedies, International Movies, Romantic Movies;Stephen Huszar, Kelly Rutherford;Justin G. Dyck;;November 16, 2018;2017;PG;86;;4.4
4810;May the Devil Take You;Con la esperanza de encontrar respuestas a la misteriosa enfermedad de su padre, una joven visita su vieja villa y descubre una verdad horrible del pasado.;Horror Movies, International Movies;Chelsea Islan, Pevita Pearce, Samo Rafael, Karina Suwandhi, Ray Sahetapy, Ruth Marini, Hadijah Shahab, Clara Bernadeth, Kinaryosih, Nicole Rossi;Timo Tjahjanto;;November 16, 2018;2018;TV-MA;111;;5.8
4811;The Giant;En 1843, paralizado Martin regresa de la guerra a su ciudad natal vasca y encuentra que su hermano se ha convertido en un gigante, que se convierten en un acto de circo.;Dramas, International Movies;Joseba Usabiaga, Eneko Sagardoy, Iñigo Aranburu, Ramón Aguirre, Aia Kruse, Iñigo Azpitarte;Aitor Arregi, Jon Garaño;;November 16, 2018;2017;TV-14;115;;6.4
4812;BuyBust;En un barrio pobre de Manila mazelike, en la guerra con civiles indignados y un cartel brutal, la agente especial Nina Manigan debe abrirse paso en una feroz noche.;Action & Adventure, International Movies;Anne Curtis, Brandon Vera, Victor Neri, Arjo Atayde, Levi Ignacio, Alex Calleja, Lao Rodriguez, Joross Gamboa, Ricky Pascua, Nonie Buencamino;Erik Matti;;November 16, 2018;2018;TV-MA;128;;5.5
4813;Loudon Wainwright III: Surviving Twin;El cantante ganador del Grammy Loudon Wainwright III reflexiona sobre su relación única con su padre en una noche de canciones originales e historias sinceras.;Music & Musicals;Loudon Wainwright III;Christopher Guest;;November 13, 2018;2018;TV-14;92;;7.2
4814;Warrior;Un veterano de guerra plagado de culpa por su última misión se une con la viuda de su mejor amigo para infiltrarse en una peligrosa pandilla de motociclistas de Copenhague.;Crime TV Shows, International TV Shows, TV Dramas;Dar Salim, Danica Curcic, Lars Ranthe, Marco Ilsø, Søren Malling, Jakob Oftebro;;Denmark;November 13, 2018;2018;TV-MA;;1 SEASON;6.9
4815;Age of Tanks;La historia de los tanques militares se desarrolla en una serie documental que traza su papel en la historia y la geopolítica desde la Primera Guerra Mundial hasta el siglo XXI.;Docuseries, International TV Shows, Science & Nature TV;;;Germany, France, Russia;November 13, 2018;2017;TV-PG;;1 SEASON;7.2
4816;Lommbock;Después de encontrar amor en Dubai libre de drogas, Stefan regresa a Alemania para obtener documentos para su boda. Pero los malos hábitos de Buddy Kai complican las cosas.;Comedies, International Movies;Lucas Gregorowicz, Moritz Bleibtreu, Louis Hofmann, Wotan Wilke Möhring, Alexandra Neldel, Melanie Winigir, Mavie Hörbiger, Dar Salim, Elmar Wepper, Antoine Monot Jr.;Christian Zübert;;November 13, 2018;2017;TV-MA;106;;6.5
4817;Love O2O;"Cuando su ""marido"" abandona a una especialidad de ciencia de la computadora en un juego de rol en línea, ella atrae una nueva propuesta del mejor jugador del juego.";International TV Shows, Romantic TV Shows, TV Dramas;Shuang Zheng, Yang Yang, Rachel Momo, Bai Yu, Zheng Yecheng, Zhang He;;China;November 9, 2018;2016;TV-14;;1 SEASON;8
4818;Medal of Honor;En honor a los miembros del servicio cuyo coraje merecía la adjudicación de una medalla de honor, esta serie docudrama recrea sus historias reales inspiradoras.;Docuseries, TV Dramas;Oliver Hudson, Ben Schwartz, Paul Wesley, Aldis Hodge, Jonny Weston, Joseph Cross, Jake Abel, Derek Mio;;United States;November 9, 2018;2018;TV-MA;;1 SEASON;8.1
4819;Outlaw King;En Escocia del siglo XIV, Robert the Bruce afirma la corona y lidera un feroz levantamiento para recuperar la independencia del país del gobierno inglés.;Action & Adventure, Dramas;Chris Pine, Aaron Taylor-Johnson, Florence Pugh, Billy Howle, Sam Spruell, Tony Curran, Callan Mulvey, James Cosmo, Stephen Dillane;David Mackenzie;;November 9, 2018;2018;R;122;;7.1
4820;Super Drags;En esta serie animada para adultos, tres compañeros de trabajo gay llevan dos vidas como superhéroes de Drag Queen, salvando a la comunidad LGBTQ de los némesos malvados.;International TV Shows, TV Comedies;Fernando Mendonça, Sérgio Cantú, Wagner Follare, Pabllo Vittar, Silvetty Montilla, Rapha Vélez, Sylvia Salustti, Guilherme Briggs;;Brazil;November 9, 2018;2018;TV-MA;;1 SEASON;5.2
